"","unique.date","crime_frequency","year","month","day","binary"
"133",2006-05-13,600,2006,5,13,0
"134",2006-05-14,534,2006,5,14,0
"135",2006-05-15,563,2006,5,15,0
"136",2006-05-16,636,2006,5,16,0
"137",2006-05-17,669,2006,5,17,0
"138",2006-05-18,642,2006,5,18,0
"139",2006-05-19,621,2006,5,19,0
"140",2006-05-20,605,2006,5,20,0
"141",2006-05-21,696,2006,5,21,0
"142",2006-05-22,733,2006,5,22,0
"143",2006-05-23,727,2006,5,23,0
"144",2006-05-24,693,2006,5,24,0
"145",2006-05-25,660,2006,5,25,0
"146",2006-05-26,621,2006,5,26,0
"147",2006-05-27,621,2006,5,27,0
"148",2006-05-28,654,2006,5,28,0
"149",2006-05-29,577,2006,5,29,0
"150",2006-05-30,680,2006,5,30,0
"151",2006-05-31,689,2006,5,31,0
"152",2006-06-01,421,2006,6,1,0
"153",2006-06-02,580,2006,6,2,0
"154",2006-06-03,587,2006,6,3,0
"155",2006-06-04,811,2006,6,4,0
"156",2006-06-05,747,2006,6,5,0
"157",2006-06-06,749,2006,6,6,0
"158",2006-06-07,679,2006,6,7,0
"159",2006-06-08,575,2006,6,8,0
"160",2006-06-09,635,2006,6,9,0
"161",2006-06-10,640,2006,6,10,0
"162",2006-06-11,611,2006,6,11,0
"163",2006-06-12,675,2006,6,12,0
"164",2006-06-13,674,2006,6,13,0
"165",2006-06-14,713,2006,6,14,0
"166",2006-06-15,692,2006,6,15,0
"167",2006-06-16,629,2006,6,16,0
"168",2006-06-17,758,2006,6,17,0
"169",2006-06-18,613,2006,6,18,0
"170",2006-06-19,657,2006,6,19,0
"171",2006-06-20,820,2006,6,20,0
"172",2006-06-21,781,2006,6,21,0
"173",2006-06-22,747,2006,6,22,0
"174",2006-06-23,622,2006,6,23,0
"175",2006-06-24,641,2006,6,24,0
"176",2006-06-25,643,2006,6,25,0
"177",2006-06-26,680,2006,6,26,0
"178",2006-06-27,774,2006,6,27,0
"179",2006-06-28,692,2006,6,28,0
"180",2006-06-29,766,2006,6,29,0
"181",2006-06-30,754,2006,6,30,0
"182",2006-07-01,585,2006,7,1,0
"183",2006-07-02,614,2006,7,2,0
"184",2006-07-03,626,2006,7,3,0
"185",2006-07-04,554,2006,7,4,0
"186",2006-07-05,720,2006,7,5,0
"187",2006-07-06,681,2006,7,6,0
"188",2006-07-07,595,2006,7,7,0
"189",2006-07-08,640,2006,7,8,0
"190",2006-07-09,605,2006,7,9,0
"191",2006-07-10,741,2006,7,10,0
"192",2006-07-11,724,2006,7,11,0
"193",2006-07-12,759,2006,7,12,0
"194",2006-07-13,782,2006,7,13,0
"195",2006-07-14,642,2006,7,14,0
"196",2006-07-15,577,2006,7,15,0
"197",2006-07-16,614,2006,7,16,0
"198",2006-07-17,677,2006,7,17,0
"199",2006-07-18,701,2006,7,18,0
"200",2006-07-19,754,2006,7,19,0
"201",2006-07-20,783,2006,7,20,0
"202",2006-07-21,698,2006,7,21,0
"203",2006-07-22,667,2006,7,22,0
"204",2006-07-23,605,2006,7,23,0
"205",2006-07-24,823,2006,7,24,0
"206",2006-07-25,845,2006,7,25,0
"207",2006-07-26,838,2006,7,26,0
"208",2006-07-27,788,2006,7,27,0
"209",2006-07-28,554,2006,7,28,0
"210",2006-07-29,660,2006,7,29,0
"211",2006-07-30,583,2006,7,30,0
"212",2006-07-31,724,2006,7,31,0
"213",2006-08-01,728,2006,8,1,0
"214",2006-08-02,734,2006,8,2,0
"215",2006-08-03,668,2006,8,3,0
"216",2006-08-04,589,2006,8,4,0
"217",2006-08-05,603,2006,8,5,0
"218",2006-08-06,667,2006,8,6,0
"219",2006-08-07,752,2006,8,7,0
"220",2006-08-08,877,2006,8,8,0
"221",2006-08-09,738,2006,8,9,0
"222",2006-08-10,729,2006,8,10,0
"223",2006-08-11,693,2006,8,11,0
"224",2006-08-12,682,2006,8,12,0
"225",2006-08-13,701,2006,8,13,0
"226",2006-08-14,691,2006,8,14,0
"227",2006-08-15,819,2006,8,15,0
"228",2006-08-16,842,2006,8,16,0
"229",2006-08-17,817,2006,8,17,0
"230",2006-08-18,727,2006,8,18,0
"231",2006-08-19,664,2006,8,19,0
"232",2006-08-20,642,2006,8,20,0
"233",2006-08-21,757,2006,8,21,0
"234",2006-08-22,756,2006,8,22,0
"235",2006-08-23,772,2006,8,23,0
"236",2006-08-24,743,2006,8,24,0
"237",2006-08-25,681,2006,8,25,0
"238",2006-08-26,588,2006,8,26,0
"239",2006-08-27,626,2006,8,27,0
"240",2006-08-28,608,2006,8,28,0
"241",2006-08-29,713,2006,8,29,0
"242",2006-08-30,620,2006,8,30,0
"243",2006-08-31,725,2006,8,31,0
"244",2006-09-01,554,2006,9,1,0
"245",2006-09-02,471,2006,9,2,0
"246",2006-09-03,738,2006,9,3,0
"247",2006-09-04,637,2006,9,4,0
"248",2006-09-05,682,2006,9,5,0
"249",2006-09-06,711,2006,9,6,0
"250",2006-09-07,679,2006,9,7,0
"251",2006-09-08,631,2006,9,8,0
"252",2006-09-09,601,2006,9,9,0
"253",2006-09-10,652,2006,9,10,1
"254",2006-09-11,614,2006,9,11,0
"255",2006-09-12,654,2006,9,12,0
"256",2006-09-13,624,2006,9,13,0
"257",2006-09-14,562,2006,9,14,0
"258",2006-09-15,604,2006,9,15,0
"259",2006-09-16,725,2006,9,16,0
"260",2006-09-17,751,2006,9,17,1
"261",2006-09-18,658,2006,9,18,0
"262",2006-09-19,729,2006,9,19,0
"263",2006-09-20,685,2006,9,20,0
"264",2006-09-21,671,2006,9,21,0
"265",2006-09-22,618,2006,9,22,0
"266",2006-09-23,611,2006,9,23,0
