,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,08-Sep-19,1:00PM ET,boxscore,W,,1-0,,Washington Redskins,32,27,22,436,313,123,,15,398,370,28,,18.68,-12.08,0.64
2,Sun,15-Sep-19,8:20PM ET,boxscore,L,,01-Jan,@,Atlanta Falcons,20,24,18,286,237,49,3,19,367,310,57,3,-3.22,-3.96,4.03
3,Sun,22-Sep-19,1:00PM ET,boxscore,L,,02-Jan,,Detroit Lions,24,27,22,373,246,127,2,16,287,201,86,,-0.31,-1.07,-3.8
4,Thu,26-Sep-19,8:20PM ET,boxscore,W,,02-Feb,@,Green Bay Packers,34,27,24,336,160,176,,31,491,414,77,2,19.42,-16.95,4.12
5,Sun,06-Oct-19,1:00PM ET,boxscore,W,,02-Mar,,New York Jets,31,6,17,265,181,84,1,9,128,61,67,3,-4.56,34.65,-6.44
6,Sun,13-Oct-19,1:00PM ET,boxscore,L,,03-Mar,@,Minnesota Vikings,20,38,19,400,292,108,3,26,447,325,122,2,2.18,-18.04,0.52
7,Sun,20-Oct-19,8:20PM ET,boxscore,L,,04-Mar,@,Dallas Cowboys,10,37,16,283,168,115,4,23,402,213,189,1,-10.92,-15.32,0.53
8,Sun,27-Oct-19,1:00PM ET,boxscore,W,,04-Apr,@,Buffalo Bills,31,13,21,371,153,218,1,16,253,155,98,1,11.88,7.91,-5.78
9,Sun,03-Nov-19,1:00PM ET,boxscore,W,,04-May,,Chicago Bears,22,14,26,373,227,146,,10,164,102,62,1,10.73,4.78,-2.82
11,Sun,17-Nov-19,4:25PM ET,boxscore,L,,05-May,,New England Patriots,10,17,21,255,174,81,1,19,298,224,74,,-9.17,3.83,-0.43
12,Sun,24-Nov-19,1:00PM ET,boxscore,L,,06-May,,Seattle Seahawks,9,17,23,344,238,106,5,14,348,174,174,2,-16.25,4.38,0.2
13,Sun,01-Dec-19,1:00PM ET,boxscore,L,,07-May,@,Miami Dolphins,31,37,23,386,294,92,1,26,409,351,58,1,12.33,-18.93,0.08
14,Mon,09-Dec-19,8:15PM ET,boxscore,W,OT,07-Jun,,New York Giants,23,17,27,418,300,118,1,11,255,182,73,,3,4.47,-0.47
15,Sun,15-Dec-19,1:00PM ET,boxscore,W,,07-Jul,@,Washington Redskins,37,27,27,415,258,157,1,19,352,251,101,1,19.99,-5.52,-3.89
16,Sun,22-Dec-19,4:25PM ET,boxscore,W,,07-Aug,,Dallas Cowboys,17,9,23,431,313,118,,16,311,257,54,1,9.73,6.26,-3.16
17,Sun,29-Dec-19,4:25PM ET,boxscore,W,,07-Sep,@,New York Giants,34,17,25,400,279,121,,19,397,275,122,2,6.3,6.61,-0.16
Wild Card,Sun,05-Jan-20,4:40PM ET,boxscore,L,,08-Sep,,Seattle Seahawks,9,17,20,282,162,120,,16,382,318,64,,-1.96,-10.59,3.79
