,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,09-Sep-07,1:02PM ET,boxscore,L,,0-1,@,Green Bay Packers,13,16,13,283,180,103,3,10,215,169,46,2,-6.09,21.59,-18.62
2,Mon,17-Sep-07,8:40PM ET,boxscore,L,,0-2,,Washington Redskins,12,20,18,340,226,114,,19,337,207,130,1,-3.53,-3.26,1.43
3,Sun,23-Sep-07,1:02PM ET,boxscore,W,,02-Jan,,Detroit Lions,56,21,29,536,363,173,2,20,432,393,39,3,29.38,2.42,0.27
4,Sun,30-Sep-07,8:23PM ET,boxscore,L,,03-Jan,@,New York Giants,3,16,16,190,76,114,1,16,212,129,83,1,-24.39,7.7,4.39
6,Sun,14-Oct-07,1:02PM ET,boxscore,W,,03-Feb,@,New York Jets,16,9,20,413,262,151,1,15,267,109,158,1,9.31,6.15,-5.88
7,Sun,21-Oct-07,4:14PM ET,boxscore,L,,04-Feb,,Chicago Bears,16,19,21,334,211,123,,19,386,314,72,,6.26,-6.72,-1.56
8,Sun,28-Oct-07,1:05PM ET,boxscore,W,,04-Mar,@,Minnesota Vikings,23,16,22,385,323,62,,20,256,151,105,,14.98,1.4,-12.25
9,Sun,04-Nov-07,8:23PM ET,boxscore,L,,05-Mar,,Dallas Cowboys,17,38,21,316,250,66,3,24,434,324,110,1,2.79,-23.81,0.6
10,Sun,11-Nov-07,1:03PM ET,boxscore,W,,05-Apr,@,Washington Redskins,33,25,22,379,240,139,2,25,361,203,158,2,14.8,-2.95,-3.41
11,Sun,18-Nov-07,1:02PM ET,boxscore,W,,05-May,,Miami Dolphins,17,7,20,352,150,202,3,9,186,109,77,,1.14,11.95,-2.99
12,Sun,25-Nov-07,8:23PM ET,boxscore,L,,06-May,@,New England Patriots,28,31,22,391,336,55,3,25,410,362,48,,8.68,-16.62,3.37
13,Sun,02-Dec-07,1:02PM ET,boxscore,L,,07-May,,Seattle Seahawks,24,28,17,363,219,144,4,16,311,176,135,2,-18.73,5.38,10.4
14,Sun,09-Dec-07,1:02PM ET,boxscore,L,,08-May,,New York Giants,13,16,18,306,165,141,1,15,318,207,111,2,-6.53,3.96,-1.81
15,Sun,16-Dec-07,4:15PM ET,boxscore,W,,08-Jun,@,Dallas Cowboys,10,6,20,315,181,134,1,11,240,187,53,3,-2.95,14.15,-4.69
16,Sun,23-Dec-07,1:02PM ET,boxscore,W,,08-Jul,@,New Orleans Saints,38,23,24,435,251,184,1,22,346,276,70,1,20.74,-0.82,-5.05
17,Sun,30-Dec-07,1:01PM ET,boxscore,W,,08-Aug,,Buffalo Bills,17,9,20,391,322,69,2,13,271,133,138,,3.78,5.53,-3.54
